Opportunity Name,Opportunity Type,Stage,Created Date,EM Gross Planned Value Currency,EM Gross Planned Value (converted),Schedule Amount,Revenue Type,Programmatic Area,FR Purpose/Outcome,Emergency/HAC,Opportunity Lead Entity,Account/Donor Name,Gross Value in USD (Formula),Emergency/HAC Appeal,Recipient Entity,Beneficiary Country/Recipient Country,Beneficiary Region,Opportunity ID,Account ID,Opportunity Gross Value (converted) Currency,Opportunity Gross Value (converted),Account Category,Account Record Type,Account Level,Account Lead Entity,Lead Account's Region,Account Mailing Country,Lead NatCom/CO Acc. Category,Lead NatCom/CO ID,Lead Entity's UNICEF Region,Account: Created Date,Opportunity Lead Entity Name (Formula),Secondary donor,ISO Code,Business Area (CO/RO/PD),Donor,Type of donors,Funding Type ,Goals,Results,Regional Priority Areas,UNICEF Region,Year,Opportunity Type
Advocacy and Policy Support,Public,Negotiating/Contracting,10/16/2024,Dollor,92076.35582,27232.64091,Revenue Type,Other – including procurement services,Child Protection,HAC-UKRAINE,,Natcom A,83926.72622,,,Ghana,,,,66059.82469,9915,Multi-Stakeholder Partnership,Public Sector,,TURKIYE NATCOM,NatCom,Montenegro,,,HQ,10/16/2024,TURKIYE NATCOM,World Bank - Washington D.C.,GHA,Ghana,Natcom A,Private,Other Resources Regular,CP,R3,Learning,SSA,2022,Public
Innovation and Research Grants,Private,Initial Meetings,4/24/2024,Dollor,88500.77863,27707.92019,Revenue Type,digital workspace for visual collaboration,Emergency Response,HAC-ARMENIA,,EU ECHO,61022.79107,,,Greece,,,,12752.11482,8108490,UN Agency/International Agency,Private Sector,,QATAR CO,WCARO,United States,,,MENARO,4/24/2024,PPD,European Investment Bank,GRC,Greece,EU ECHO,Private,Other Resources Emergency,Health,R2,Thriving,ECA,2023,Public
Global Thematic Programs,Private,Negotiating/Contracting,10/10/2024,Dollor,80361.04055,8107.600256,Revenue Type,"Policy advocacy – urban, civil society, parliament, environment",Emergency Response,HAC-UKRAINE,,G,85340.08184,,,Grenada,,,,34568.20501,39948184,UN Agency/International Agency,Private Sector,,ROMANIA CO,WCARO,Montenegro,,,ESARO,10/10/2024,PPD,Unilever,GRD,Grenada,G,Bilateral,Other Resources Regular,Child Protection,R5,Thriving,LACRO,2024,Public
Global Thematic Programs,Private,Secured/Won,4/6/2024,Dollor,63850.79314,15362.61996,Revenue Type,Care and Treatment of Children affected by HIV and AIDS,Increased Immunization Rates,HAC-ECARO,,Natcom c,44973.73676,,,Guatemala,,,,17694.68634,29543619,Global/Regional Multilaterals,Private Sector,,BULGARIA CO,NatCom,Cyprus,,,ECARO,4/6/2024,ARMENIA CO,African Development Bank (AfDB),GTM,Guatemala,Natcom c,EU,Other Resources Regular,SP,R4,Thriving,LACRO,2024,Public
Advocacy and Policy Support,Public,Initial Meetings,1/23/2024,Dollor,94049.49542,77444.80323,ORE-Thematic,Private sector fundraising,Education,HAC-STATE OF PALESTINE,,C,9281.227608,,,Guinea,,,,97114.46471,17293916,Account Category,Public Sector,,INDIA CO,WCARO,Tajikistan,,,ESARO,1/23/2024,UZBEKISTAN CO,Unilever,GIN,Guinea,C,Bilateral,Other Resources Regular,WASH,R1,Thriving,SSA,2023,Public
Country Programmes,Public,Initial Meetings,7/17/2024,Dollor,45098.81659,74659.62897,ORE-Thematic,"Protect, care and support children and families affected by HIV",Health,HAC-UKRAINE,,Natcom c,41938.03035,,,Guinea-Bissau,,,,15899.08643,18023663,Global/Regional Multilaterals,Private Sector,,MONTENEGRO CO,EAPRO,Moldova,,,HQ,7/17/2024,ARMENIA CO,World Bank - Washington D.C.,GNB,Guinea-Bissau,Natcom c,Private,Other Resources Emergency,CP,R4,Protecting,SSA,2023,Public
Advocacy and Policy Support,Public,Initial Meetings,5/31/2024,Dollor,55583.33722,36427.67924,ORR Non-Thematic,"Cross-sectoral monitoring, data and situation analyses",Emergency Response,HAC-STATE OF PALESTINE,,Natcom c,35587.73739,,,Guyana,,,,30431.37165,2036391,Non-Profit/NGO Foundations,Public Sector,,CROATIA CO,EAPRO,Albania,,,HQ,5/31/2024,GREECE CO,Bill & Melinda Gates Foundation,GUY,Guyana,Natcom c,Bilateral,Other Resources Emergency,Child Protection,R3,Learning,LACRO,2024,Public
Advocacy and Policy Support,Public,Negotiating/Contracting,7/20/2024,Dollor,92614.20662,61347.55833,ORR Non-Thematic,"Violence, exploitation and abuse",Education,HAC-STATE OF PALESTINE,,G,12930.48582,,,Haiti,,,,62342.24554,17090251,Governmental Organization,Public Sector,,INNOVATION UNIT,MENARO,Tajikistan,,,NatCom,7/20/2024,TURKIYE NATCOM,The United Kingdom,HTI,Haiti,G,Private,Other Resources Regular,CP,R2,Protecting,LACRO,2023,Public
Humanitarian Funding,Private,Negotiating/Contracting,11/19/2024,Dollor,79503.33819,61965.67997,ORR Non-Thematic,Health systems strengthening,Child Protection,Ukraine Response,,C,65640.88649,,,Holy See,,,,11669.84219,3756933,University/Education Org.,Public Sector,,UZBEKISTAN CO,ECARO,Armenia,,,HQ,11/19/2024,MOLDOVA CO,Unilever,VAT,Holy See,C,Bilateral,Other Resources Regular,Education,R2,Protecting,ECA,2022,Public
Country Programmes,Public,Secured/Won,7/31/2024,Dollor,83082.41381,67098.13693,ORR Non-Thematic,Equity – focus on girls’ and inclusive education,Emergency Response,Emergency/HAC,,Natcom A,80957.05592,,,Honduras,,,,40589.3723,21507088,Corporate,Private Sector,,KOSOVO CO,HQ,Netherlands,,,NatCom,7/31/2024,ROMANIA CO,World Bank - Washington D.C.,HND,Honduras,Natcom A,Private,Other Resources Emergency,WASH,R4,Connecting,LACRO,2023,Public
Partnership Funding,Private,Negotiating/Contracting,6/10/2024,Dollor,91108.96943,71030.32347,Revenue Type,Humanitarian Action,Emergency Response,HAC-ARMENIA,,ECHO,36896.65084,,,Hungary,,,,22947.43306,35088112,Multi-Stakeholder Partnership,Public Sector,,ROMANIA CO,ROSA,Bulgaria,,,MENARO,6/10/2024,GREECE CO,Unilever,HUN,Hungary,ECHO,Bilateral,Other Resources Emergency,SP,R1,Including,ECA,2023,Public
Innovation and Research Grants,Public,Secured/Won,3/29/2024,Dollor,97595.38152,11772.28716,ORR Non-Thematic,Child Protection – strengthen families and communities,Health,Emergency/HAC,,C,40667.17407,,,Iceland,,,,56178.46804,12833139,Foundation,Public Sector,,KOSOVO CO,ECARO,Qatar,,,MENARO,3/29/2024,MONTENEGRO CO,African Development Bank (AfDB),ISL,Iceland,C,EU,Other Resources Emergency,Education,R2,Learning,ECA,2023,Public
Partnership Funding,Private,Secured/Won,11/13/2024,Dollor,54249.79615,44345.45595,ORR Non-Thematic,"Financial, information and communication technology and administrative managemen",Emergency Response,Ukraine Response,,ECHO,48736.00062,,,India,,,,15967.89457,8031236,Country Office,Corporate Account,,GREECE CO,MENARO,Moldova,,,HQ,11/13/2024,GEORGIA CO,European Investment Bank,IND,India,ECHO,Private,Other Resources Emergency,SP,R3,Protecting,ROSA,2022,Public
Innovation and Research Grants,Private,Negotiating/Contracting,3/5/2024,Dollor,82492.02834,14781.78615,ORR Non-Thematic,Health – General,Advocacy,HAC-ECARO,,C,35226.19746,,,Indonesia,,,,95748.26678,2832416,Country Office,Private Sector,,UZBEKISTAN CO,ROSA,Bulgaria,,,ECARO,3/5/2024,ALBANIA CO,Unilever,IDN,Indonesia,C,Bilateral,Other Resources Regular,CP,R4,Thriving,EAPRO,2024,Public
Advocacy and Policy Support,Public,Secured/Won,11/27/2024,Dollor,63037.17614,24088.01052,Revenue Type,Gender Equality,Education,HAC-ARMENIA,,C,39737.21074,,,Iran (Islamic Republic of),,,,67368.45817,3649444,Central Government,Private Sector,,SERBIA CO,ECARO,Greece,,,NatCom,11/27/2024,UZBEKISTAN CO,Unilever,IRN,Iran (Islamic Republic of),C,Bilateral,Other Resources Regular,Health,R2,Protecting,MENA,2022,Public
Development Initiatives,Private,Secured/Won,2/13/2024,Dollor,46975.44671,89982.28051,ORE-Thematic,Care and Treatment of Children affected by HIV and AIDS,Advocacy,HAC-ECARO,,G,2352.426393,,,Iraq,,,,5821.725844,20606959,Corporate Foundation,Private Sector,,INNOVATION UNIT,EAPRO,Switzerland,,,HQ,2/13/2024,ALBANIA CO,Unilever,IRQ,Iraq,G,Bilateral,Other Resources Emergency,CP,R5,Thriving,MENA,2022,Public
Advocacy and Policy Support,Public,Secured/Won,9/18/2024,Dollor,94739.81926,30143.80646,ORE-Thematic,Adolescents and HIV/AIDS,Health,HAC-UKRAINE,,Natcom A,50633.69917,,,Ireland,,,,49318.80668,600736,Other,Public Sector,,CHINA CO,ROSA,France,,,ESARO,9/18/2024,MONTENEGRO CO,World Bank - Washington D.C.,IRL,Ireland,Natcom A,Private,Other Resources Regular,Health,R4,Protecting,ECA,2024,Public
Innovation and Research Grants,Public,Negotiating/Contracting,10/21/2024,Dollor,81759.90255,37968.95321,ORE-Thematic,Child Protection – strengthen families and communities,Education,HAC-STATE OF PALESTINE,,Natcom c,21114.60742,,,Israel,,,,87881.18465,16945014,Foundation,Public Sector,,UKRAINE CO,WCARO,Armenia,,,MENARO,10/21/2024,KOSOVO CO,Bill & Melinda Gates Foundation,ISR,Israel,Natcom c,Bilateral,Other Resources Emergency,Education,R5,Protecting,MENA,2022,Public
Emergency Response,Public,Initial Meetings,6/8/2024,Dollor,88495.28794,42695.58679,ORR Non-Thematic,Oversight and assurance,Increased Immunization Rates,HAC-UKRAINE,,EU ECHO,55754.98319,,,Italy,,,,10104.91345,26414730,Global/Regional Multilaterals,Private Sector,,SERBIA CO,MENARO,Tajikistan,,,NatCom,6/8/2024,TAJIKISTAN CO,Bureau for Humanitarian Assistance,ITA,Italy,EU ECHO,Bilateral,Other Resources Regular,ADAP,R5,Thriving,ECA,2023,Public
Development Initiatives,Private,Secured/Won,2/5/2024,Dollor,2059.241869,21520.86876,Revenue Type,"Violence, exploitation and abuse",Increased Immunization Rates,HAC-ECARO,,Natcom A,61001.71067,,,Jamaica,,,,74390.5592,32884531,Non-Profit/NGO Foundations,Private Sector,,MONTENEGRO CO,ROSA,Netherlands,,,HQ,2/5/2024,BULGARIA CO,Bureau for Humanitarian Assistance,JAM,Jamaica,Natcom A,Bilateral,Other Resources Emergency,CP,R3,Protecting,LACRO,2023,Public
Partnership Funding,Private,Initial Meetings,2/15/2024,Dollor,61065.52451,13683.37363,ORE-Thematic,ACT-A/COVAX Pillar 3: Vaccine introduction and roll out,Education,HAC-ARMENIA,,EU ECHO,90010.02224,,,Japan,,,,13240.1507,27161708,Country Office,Public Sector,,KYRGYZSTAN CO,WCARO,Qatar,,,ESARO,2/15/2024,ROMANIA CO,European Investment Bank,JPN,Japan,EU ECHO,EU,Other Resources Emergency,SP,R3,Including,EAPRO,2022,Public
Humanitarian Funding,Private,Negotiating/Contracting,10/23/2024,Dollor,67886.28703,7534.549497,Revenue Type,Cross-sectoral Communication for Development,Education,Emergency/HAC,,EU ECHO,22817.4412,,,Jordan,,,,9846.717595,3950890,Corporate,Public Sector,,CROATIA CO,HQ,Moldova,,,ECARO,10/23/2024,ROMANIA CO,European Investment Bank,JOR,Jordan,EU ECHO,EU,Other Resources Emergency,Child Protection,R1,Thriving,MENA,2024,Public
Advocacy and Policy Support,Public,Initial Meetings,11/11/2024,Dollor,85604.40005,326.3215163,ORR Non-Thematic,Private sector fundraising,Health,HAC-ARMENIA,,C,28771.39765,,,Kazakhstan,,,,17261.94326,38218037,Foundation,Private Sector,,TAJIKISTAN CO,NatCom,Armenia,,,ECARO,11/11/2024,ARMENIA CO,The United Kingdom,KAZ,Kazakhstan,C,Private,Other Resources Regular,SP,R1,Learning,ECA,2023,Public
Development Initiatives,Private,Secured/Won,8/10/2024,Dollor,40726.93195,87744.03811,Revenue Type,Economic and social policy general,Child Protection,Emergency/HAC,,Natcom c,21699.72139,,,Kenya,,,,36534.1638,19792454,Corporate Foundation,Public Sector,,NETHERLANDS NATCOM,NatCom,Albania,,,ESARO,8/10/2024,BELARUS CO,Bill & Melinda Gates Foundation,KEN,Kenya,Natcom c,Bilateral,Other Resources Emergency,Health,R5,Learning,SSA,2023,Public
Innovation and Research Grants,Public,Initial Meetings,1/30/2024,Dollor,5841.188515,91523.57726,Revenue Type,Child health,Advocacy,HAC-STATE OF PALESTINE,,EU ECHO,3515.692331,,,Kiribati,,,,7842.204196,39100315,Other,Private Sector,,INDIA CO,WCARO,Croatia,,,NatCom,1/30/2024,MONTENEGRO CO,Bureau for Humanitarian Assistance,KIR,Kiribati,EU ECHO,Bilateral,Other Resources Regular,Education,R3,Including,EAPRO,2022,Public
Country Programmes,Public,Secured/Won,3/2/2024,Dollor,78684.52511,90929.58005,Revenue Type,PFP,Education,Emergency/HAC,,Natcom c,65982.83951,,,Kuwait,,,,87109.22747,32439928,Central Government,Public Sector,,DENMARK NATCOM,EAPRO,Albania,,,NatCom,3/2/2024,UZBEKISTAN CO,African Development Bank (AfDB),KWT,Kuwait,Natcom c,EU,Other Resources Emergency,SP,R4,Protecting,MENA,2023,Public
Partnership Funding,Private,Initial Meetings,4/19/2024,Dollor,93868.61207,79263.9987,ORE-Thematic,"Policy advocacy – urban, civil society, parliament, environment",Education,HAC-ECARO,,EU ECHO,61990.91802,,,Kyrgyzstan,,,,71034.99668,12307643,Other,Public Sector,,CROATIA CO,ROSA,Bulgaria,,,ECARO,4/19/2024,BULGARIA CO,Bureau for Humanitarian Assistance,KGZ,Kyrgyzstan,EU ECHO,Bilateral,Other Resources Emergency,Education,R5,Learning,ECA,2023,Public
Humanitarian Funding,Private,Negotiating/Contracting,11/15/2024,Dollor,75793.68089,91318.82254,Revenue Type,Social exclusion – data and evidence,Education,Emergency/HAC,,ECHO,88983.23249,,,Lao People's Democratic Republic,,,,96843.14876,35120306,Women's and diaspora organizations,Private Sector,,ALBANIA CO,MENARO,Cyprus,,,ESARO,11/15/2024,GEORGIA CO,European Investment Bank,LAO,Lao People's Democratic Republic,ECHO,Private,Other Resources Regular,CP,R3,Learning,EAPRO,2023,Public
Innovation and Research Grants,Private,Negotiating/Contracting,6/2/2024,Dollor,7413.393614,58695.72384,ORR Non-Thematic,Emergencies,Education,Ukraine Response,,C,6884.480218,,,Latvia,,,,47177.70445,39047973,Other,Public Sector,,US FUND,MENARO,Tajikistan,,,HQ,6/2/2024,GREECE CO,Unilever,LVA,Latvia,C,Bilateral,Other Resources Regular,Child Protection,R2,Learning,ECA,2022,Public
Partnership Funding,Private,Secured/Won,9/3/2024,Dollor,22978.4454,17249.54982,Revenue Type,Child health,Increased Immunization Rates,Emergency/HAC,,Natcom A,13668.20917,,,Lebanon,,,,10050.639,24340824,Membership based organizations,Private Sector,,ROMANIA CO,ROSA,Montenegro,,,NatCom,9/3/2024,LEBANON CO,World Bank - Washington D.C.,LBN,Lebanon,Natcom A,Private,Other Resources Emergency,ADAP,R4,Protecting,MENA,2024,Public
Country Programmes,Public,Secured/Won,8/20/2024,Dollor,55935.22383,16070.00247,ORR Non-Thematic,WASH and emergencies,Child Protection,Emergency/HAC,,Natcom A,39071.07018,,,Lesotho,,,,99850.57175,15074067,Multi-Stakeholder Partnership,Private Sector,,DENMARK NATCOM,ECARO,Serbia,,,ESARO,8/20/2024,ALBANIA CO,Bureau for Humanitarian Assistance,LSO,Lesotho,Natcom A,Bilateral,Other Resources Emergency,WASH,R1,Learning,SSA,2024,Public
Innovation and Research Grants,Private,Negotiating/Contracting,6/15/2024,Dollor,33013.49378,2854.393261,ORE-Thematic,Building capacity for Evaluation,Emergency Response,HAC-ARMENIA,,ECHO,43196.33409,,,Liberia,,,,75198.41732,33464350,Corporate,Private Sector,,TURKIYE NATCOM,ECARO,Moldova,,,ESARO,6/15/2024,MOLDOVA CO,European Investment Bank,LBR,Liberia,ECHO,EU,Other Resources Regular,Child Protection,R4,Learning,SSA,2022,Public
Advocacy and Policy Support,Public,Negotiating/Contracting,9/26/2024,Dollor,13763.32885,56857.8777,ORR Non-Thematic,WASH and emergencies,Emergency Response,Emergency/HAC,,ECHO,44189.77501,,,Libya,,,,88886.65862,13910305,Corporate,Private Sector,,INNOVATION UNIT,EAPRO,Netherlands,,,ESARO,9/26/2024,MONTENEGRO CO,Unilever,LBY,Libya,ECHO,Bilateral,Other Resources Emergency,CP,R2,Including,MENA,2023,Public
Country Programmes,Public,Initial Meetings,7/16/2024,Dollor,37106.7315,58055.21092,Revenue Type,HIV – General,Increased Immunization Rates,HAC-UKRAINE,,ECHO,12017.45411,,,Liechtenstein,,,,18749.71369,29902967,Account Category,Public Sector,,ROMANIA CO,ROSA,Armenia,,,MENARO,7/16/2024,KYRGYZSTAN CO,European Investment Bank,LIE,Liechtenstein,ECHO,EU,Other Resources Regular,Health,R5,Thriving,ECA,2022,Public
Humanitarian Funding,Private,Initial Meetings,5/15/2024,Dollor,87271.28101,31445.0173,Revenue Type,Polio eradication,Increased Immunization Rates,HAC-STATE OF PALESTINE,,C,91487.47893,,,Lithuania,,,,21044.71625,2094464,UN Agency/International Agency,Corporate Account,,DENMARK NATCOM,NatCom,Bulgaria,,,NatCom,5/15/2024,ARMENIA CO,The United Kingdom,LTU,Lithuania,C,Private,Other Resources Emergency,WASH,R5,Connecting,ECA,2022,Public
Development Initiatives,Private,Secured/Won,5/7/2024,Dollor,59535.93528,2958.190147,ORE-Thematic,ACT-A/COVAX Pillar 1 - Diagnostics,Advocacy,HAC-ECARO,,G,77959.98291,,,Luxembourg,,,,41151.9057,16755379,Corporate,Private Sector,,SENEGAL CO,NatCom,Bulgaria,,,ESARO,5/7/2024,LEBANON CO,African Development Bank (AfDB),LUX,Luxembourg,G,EU,Other Resources Regular,Education,R2,Thriving,ECA,2024,Public
Innovation and Research Grants,Public,Initial Meetings,9/12/2024,Dollor,31513.19556,59460.00068,Revenue Type,Nutrition – Overweight & Obesity,Advocacy,HAC-UKRAINE,,C,7149.966461,,,Madagascar,,,,55734.34823,19200673,Global/Regional Multilaterals,Public Sector,,KOSOVO CO,NatCom,Albania,,,HQ,9/12/2024,ALBANIA CO,African Development Bank (AfDB),MDG,Madagascar,C,EU,Other Resources Emergency,Education,R5,Connecting,SSA,2022,Public
Innovation and Research Grants,Private,Secured/Won,7/13/2024,Dollor,68661.88257,96483.33206,ORE-Thematic,Micronutrients,Advocacy,HAC-ECARO,,Natcom A,73394.5672,,,Malawi,,,,81363.52948,34346440,Global/Regional Multilaterals,Private Sector,,GEORGIA CO,WCARO,United States,,,ECARO,7/13/2024,BULGARIA CO,African Development Bank (AfDB),MWI,Malawi,Natcom A,EU,Other Resources Emergency,SP,R4,Learning,SSA,2022,Public
Global Thematic Programs,Private,Initial Meetings,1/29/2024,Dollor,65346.59605,42018.96398,ORE-Thematic,Humanitarian Action,Increased Immunization Rates,HAC-ECARO,,Natcom d,1157.678567,,,Malaysia,,,,22349.60158,7168641,Sport Associations,Public Sector,,DENMARK NATCOM,ECARO,Serbia,,,NatCom,1/29/2024,PPD,Bureau for Humanitarian Assistance,MYS,Malaysia,Natcom d,Bilateral,Other Resources Emergency,CP,R3,Protecting,EAPRO,2024,Public
Partnership Funding,Private,Negotiating/Contracting,8/4/2024,Dollor,49629.09692,80594.52297,ORE-Thematic,Public finance and local governance,Child Protection,Emergency/HAC,,Natcom c,78179.51565,,,Maldives,,,,62253.28214,22514552,IFI/RDB,Public Sector,,GEORGIA CO,WCARO,Montenegro,,,ESARO,8/4/2024,MONTENEGRO CO,World Bank - Washington D.C.,MDV,Maldives,Natcom c,Private,Other Resources Regular,ADAP,R4,Connecting,ROSA,2023,Public
Development Initiatives,Private,Initial Meetings,8/3/2024,Dollor,78831.27054,68853.91097,Revenue Type,Cross-sectoral Communication for Development,Child Protection,Ukraine Response,,EU ECHO,75300.99827,,,Mali,,,,80190.65827,9878824,Governmental Organization,Public Sector,,SERBIA CO,HQ,Netherlands,,,HQ,8/3/2024,ARMENIA CO,European Investment Bank,MLI,Mali,EU ECHO,Private,Other Resources Emergency,Child Protection,R4,Including,SSA,2023,Public
Global Thematic Programs,Private,Secured/Won,10/25/2024,Dollor,21158.23169,87998.09574,ORR Non-Thematic,PMTCT and infant male circumcision,Child Protection,Ukraine Response,,Natcom c,32006.83656,,,Malta,,,,59406.92314,33099273,Women's and diaspora organizations,Private Sector,,UZBEKISTAN CO,ROSA,Serbia,,,ESARO,10/25/2024,GEORGIA CO,USA (State) BPRM,MLT,Malta,Natcom c,Bilateral,Other Resources Regular,Education,R4,Including,ECA,2024,Public
Innovation and Research Grants,Public,Secured/Won,11/2/2024,Dollor,51086.05841,23746.6734,ORR Non-Thematic,ACT-A/COVAX Pillar 1 - Diagnostics,Child Protection,Emergency/HAC,,Natcom A,52220.68124,,,Marshall Islands,,,,84509.21331,35091626,Ministry,Private Sector,,DENMARK NATCOM,HQ,Greece,,,HQ,11/2/2024,BELARUS CO,African Development Bank (AfDB),MHL,Marshall Islands,Natcom A,EU,Other Resources Emergency,Child Protection,R2,Connecting,EAPRO,2023,Public
Global Thematic Programs,Private,Initial Meetings,7/4/2024,Dollor,53367.06329,3383.507559,ORR Non-Thematic,Child Protection – strengthen families and communities,Emergency Response,HAC-STATE OF PALESTINE,,EU ECHO,42492.20237,,,Mauritania,,,,78534.42301,24341854,Ministry,Private Sector,,QATAR CO,ECARO,Croatia,,,MENARO,7/4/2024,SERBIA CO,European Investment Bank,MRT,Mauritania,EU ECHO,Private,Other Resources Regular,Education,R3,Including,SSA,2023,Public
Country Programmes,Public,Negotiating/Contracting,7/14/2024,Dollor,49920.47189,94791.4346,ORE-Thematic,Other – including procurement services,Increased Immunization Rates,Emergency/HAC,,Natcom A,87065.07771,,,Mauritius,,,,12861.67861,9780706,Corporate,Private Sector,,GEORGIA CO,HQ,Belarus,,,ESARO,7/14/2024,CROATIA CO,African Development Bank (AfDB),MUS,Mauritius,Natcom A,EU,Other Resources Regular,Child Protection,R4,Learning,SSA,2024,Public
Emergency Response,Public,Negotiating/Contracting,1/1/2024,Dollor,26072.4293,46257.50328,ORE-Thematic,Child Protection systems,Emergency Response,HAC-ARMENIA,,EU ECHO,12338.41457,,,Mexico,,,,6242.867295,23920717,Non-Profit/NGO Foundations,Private Sector,,UZBEKISTAN CO,NatCom,Croatia,,,ECARO,1/1/2024,SOMALIA CO,European Investment Bank,MEX,Mexico,EU ECHO,Private,Other Resources Emergency,Education,R3,Thriving,LACRO,2023,Public
Development Initiatives,Private,Secured/Won,7/21/2024,Dollor,96480.30157,19024.55204,ORE-Thematic,Maternal and Newborn health,Health,Emergency/HAC,,G,88833.36635,,,Micronesia (Federated States of),,,,87749.35734,2841575,University/Education Org.,Corporate Account,,INDIA CO,WCARO,Serbia,,,ESARO,7/21/2024,BULGARIA CO,Unilever,FSM,Micronesia (Federated States of),G,Bilateral,Other Resources Regular,SP,R5,Learning,EAPRO,2022,Public
